79,13,34
50,23,55
36,37,53
40,47,27
19,37,45
28,52,45
85,12,52
58,22,28
81,31,31
60,36,17
93,14,32
85,9,41
85,17,23
95,21,22
100,19,27
12,45,49
99,14,41
86,37,14
84,63,20
34,49,53
76,68,31
59,44,15
68,57,26
30,38,46
86,31,35
94,46,24
93,36,14
58,60,24
41,22,41
38,20,49
79,30,14
79,25,17
75,36,13
43,43,23
55,64,52
69,67,53
49,45,55
44,59,50
58,59,41
53,59,39
59,33,38
50,46,36
70,57,31
70,60,50
74,52,44
72,42,48
85,37,49
97,26,49
101,41,48
121,31,51
101,49,48
117,37,30
104,53,46
105,59,47
111,63,49
124,62,49
79,13,81
51,23,61
36,37,63
40,47,88.5
19,37,70
29,52,71
85,12,64
58,22,87
81,31,85
60,36,99
93,13,83
85,9,74
85,18,93
95,21,94
99,19,88
12,45,67
99,14,75
87,37,102
84,63,95
34,49,62
76,68,84
59,44,100
68,57,90
30,38,69
86,31,80
94,46,92
93,37,101
58,60,92
41,22,75
38,20,67
79,30,102
79,25,99
75,36,103
43,43,92
55,64,64
69,67,63
49,45,61
44,59,66
58,59,75
53,59,77
59,33,78
50,46,80
70,56,85
70,60,66
74,52,72
72,42,68
85,37,67
97,26,66
101,41,68
121,31,65
101.5,49,68
117,37,86
104,53,70
105,59,69
111,62,67
124,62,67
